################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: patata0717
#     Report Created on: Fri Aug 22 16:40:06 2025
#     Working Directory: /home/patata0717/ic_contest/IC_contest/ASIC_flow/B_ICC2024_preliminary_grad_cell-based/ver4/hdl
#     Report Location  : ./spyglass-1/lint/lint_turbo_rtl/spyglass_reports/openmore/InferLatch/000/InferLatch001.csv
#     SpyGlass Version : SpyGlass_vW-2024.09-SP2
#     Policy Name      : openmore(SpyGlass_vW-2024.09-SP2)
#     Comment          : Latch inferred for the signal
#
################################################################################
#CrossProbeTag:InferLatch_VIOLATION_CSV_TAG
##Sheet_Prop:hidecols:1
##Sheet_Prop:cross-probe-data-col:1
##Sheet_Prop:use_violation_based_waiver:1

TagId,File Name,Line Number,Latch output net,Design unit name,WAIVED
24,Cubic_engine.v,82,"X[0][7:0]","Cubic_engine","no"
16,Cubic_engine.v,83,"X[1][7:0]","Cubic_engine","no"
8,Cubic_engine.v,84,"X[2][7:0]","Cubic_engine","no"
